file	name	type	default	help
AcEvoDriverManager.cpp	profile_id	string		profile id
AIGFlagsDeclarations.cpp	ai_curb_consistency_factor	double	None	how much consistency is applied to use the track width and curbs
AIGFlagsDeclarations.cpp	ai_debug_csv_dump_directory	string		Directory AI debug CSV dumps get written to. Empty = disabled.
AIGFlagsDeclarations.cpp	ai_disable_brake_mistakes	bool	None	disables (late) brake mistakes
AIGFlagsDeclarations.cpp	ai_disable_exit_mistakes	bool	None	disables exit mistakes, like short lifts
AIGFlagsDeclarations.cpp	ai_disable_optimum_tyres	bool	None	no optimum pressures and temps for the tyres
AIGFlagsDeclarations.cpp	ai_disable_psychological_pressure	bool	None	disables pressure on AIs that drive them into mistakes
AIGFlagsDeclarations.cpp	ai_disable_slipstream	bool	None	disables slipstream for AI cars. maybe safer on high aero cars, but they can't overtake
AIGFlagsDeclarations.cpp	ai_disable_variations	bool	None	tries to get rid of variations, inconsistencies, errors, basically disables the consistency skill
AIGFlagsDeclarations.cpp	ai_globally_comparable	bool	None	will set (a lot!) other ai related flags to remove any kind of variation and randomness; also kills most of the gameplay, so don't use outside aiTester and evaluation runs
AIGFlagsDeclarations.cpp	ai_mayhem	bool	None	overrides the grid car selection to maximize the performance differences
AIGFlagsDeclarations.cpp	ai_mayhem_live_content_only	bool	None	restricts ai_mayhem to Content_TestStage_LiveContent
AIGFlagsDeclarations.cpp	ai_mayhem_rc_content_only	bool	None	restricts ai_mayhem to Content_TestStage_ReleaseCandidate
AIGFlagsDeclarations.cpp	ai_push_gamma	double	1.7	defines how much the AI strength/quickness translates into cornering speed. values above 1.0 will make the 80{}I go even slower; a gamma of 0 would let the 80{}I go as fast as a 100{}I
AIGFlagsDeclarations.cpp	ai_run_dynamic_track	bool	True	let's the Ai watch for dynamic track values. may be a performance issue, so we can switch the behaviour
AIGFlagsDeclarations.cpp	ai_simulated_pressure	double	None	how much pressure 'from behind' do AI drivers feel. if you don't know what this is, don't touch it
AIGFlagsDeclarations.cpp	ai_superhuman_code	bool	True	runs really weird code that may be important for stability, but looks highly critical
AIGFlagsDeclarations.cpp	ai_tester_car_override	string		Override the car for the AI Tester
AIGFlagsDeclarations.cpp	ai_tester_laps	int32	3	override to how many laps any combination is doing
AIGFlagsDeclarations.cpp	ai_tester_push	int32	100	override to the aiSkills
AIGFlagsDeclarations.cpp	ai_tester_skip_movables	bool	True	no simulation of movable polygons and such
AIGFlagsDeclarations.cpp	ai_tester_track__eventname	string		track name + __ + event name (ie Brands Hatch__Indy Hotstint)
AIGFlagsDeclarations.cpp	recreate_aispline_cache	bool	None	Forcefully recreate the .aispline files
AIGFlagsDeclarations.cpp	run_ai_optimization_code	bool	None	runs the optimization code for AI stuff. is experimental, but we need to start somewhere
AIGFlagsDeclarations.cpp	update_steering_data	bool	None	Update steering data
AISplineReferenceSimulator.cpp	ai_spline_ref_sim	bool	True	Enable ai spline ref simulation that works only on a limited number of slices
ApplicationInfo.cpp	minimumcores	bool	None	Use only the minimum supported number of cores
AudioManager.cpp	no_audio	bool	None	Disable audio bank loading
Car.cpp	random_starting_fuel	bool	None	Random starting fuel (low)
CarAudio.cpp	no_audio_raycast	bool	None	Disable raycast
CarPresenter.cpp	disable_skidmarks	bool	None	Disable skidmarks
CarRenderer.cpp	no_unique_car_batches	bool	None	Disable car unique batches creation, meant to be used in editor when modifying materials applied to cars
CarUpdateScheduler.cpp	car_update_animations_budget	int32	3	Non focused cars receiving an animations graphics update per frame
CarUpdateScheduler.cpp	car_update_complete_budget	int32	2	Non focused cars receiving a complete graphics update per frame
CarUpdateScheduler.cpp	car_update_complete_max_interval	int32	20	Maximum frames a car can go without a complete graphics update
CarUpdateScheduler.cpp	car_update_scheduler	bool	True	Budgeted per-car graphics update scheduling (basics/animations/complete classes)
CommunicationChannel.cpp	messages_to_ignore	string		Messages to ignore
CommunicationChannel.cpp	messages_to_log	string		Messages to log
CrashGuard.cpp	dumplevel	int32	2	Level of info in crash dump
CrashGuard.cpp	veh_crashdumps	bool	None	Write crash dumps for each exception thrown
Device.cpp	disable_vrs	bool	None	Disable variable rate shading
Device.cpp	dx12_amd_memory_allocator	bool	True	Enable AMD memory allocator
Device.cpp	dx12_amd_memory_allocator_within_budget	bool	None	Strict mode where the allocator crashes if a request exceed the memory budget
Device.cpp	dx12_debug_layer	bool	None	Enable debug layer
Device.cpp	dx12_debug_layer_break_on_error	bool	True	Break into the debugger on debug layer errors (disable to log and continue)
Device.cpp	dx12_debug_layer_gpu_validation	bool	None	Enable bug layer gpu validation
Device.cpp	dx12_dred	bool	None	Enable DX12 Device Removed Extended Data
Device.cpp	dx12_dump_extended_info	bool	None	Output additional data when creating crash dumps
Device.cpp	dx12_instances_tiled	bool	True	Use sparse/tiled buffer for the instances pool (requires Tiled Resources Tier 2)
Device.cpp	dx12_instances_tiled_log_verbose	bool	None	Verbose log for tiled instances buffer (map/unmap operations)
DeviceAllocator.cpp	force_canonical_pool_sizes	bool	None	Ignore the dynamic VRAM budget and size both the texture tile pool and the mesh streamer pool to their canonical define-based value (e.g. ~1.4 GB for Low texture pool size)
DeviceAllocator.cpp	tile_pool_mb	int32	None	Size of texture tile pool
EvoCoreGame.cpp	ai_player_car	bool	None	Player car spawns with AI controller
EvoMain.cpp	disable_lpp	bool	False	Disable LPP
EvoUi.cpp	hyundai	bool	None	menu with hyundai
FreeRoamRemote.cpp	traffic	bool	None	Enable traffic in Cruise mode
GameCar.cpp	use_microsectors2	bool	True	Enable alternative microsectors
GameModeSelectionClientCommunication.cpp	opponent_count	int32	-1	overriding the UI to spawn as many AI opponents
GameScenePresenter.cpp	no_gi	bool	None	Disable global illumination
GameScenePresenter.cpp	no_instances	bool	None	Disable mesh instances
GameScenePresenter.cpp	physics_late_latching	bool	None	Enables the late latching physicsState->camera position
GameScenePresenter.cpp	traffic_damage_min_kmh	double	25.0	Wrecked (released) traffic cars start showing damage above this post-impact speed (km/h)
GameScenePresenter.cpp	traffic_damage_range_kmh	double	40.0	Speed range (km/h) above the min over which the traffic damage value ramps 0..1
GameScenePresenter.cpp	traffic_ground_snap	bool	True	Visually snap kinematic traffic cars near the camera onto the collision geometry (height + tilt) via a ground raycast
GameScenePresenter.cpp	traffic_ground_snap_distance	double	10.0	Max distance (m) from the camera at which the traffic ground snap is applied
GameScenePresenter.cpp	traffic_ground_snap_offset	double	-0.1	Vertical offset (m) of the car mesh above the raycast hit point (~ default mesh_up_offset)
GameUi.cpp	ui_force_resource_preloading	bool	None	force resource preloading also in dev builds
gflags_completions.cc	tab_completion_columns	int32	80	Number of columns to use in output for tab completion
gflags_completions.cc	tab_completion_word	string		If non-empty, HandleCommandLineCompletions() will hijack the process and attempt to do bash-style command line flag completion on this value.
gflags_reporting.cc	help	bool	None	show help on all flags [tip: all flags can have two dashes]
gflags_reporting.cc	helpfull	bool	None	show help on all flags -- same as -help
gflags_reporting.cc	helpmatch	string		show help on modules whose name contains the specified substr
gflags_reporting.cc	helpon	string		show help on the modules named by this flag value
gflags_reporting.cc	helppackage	bool	None	show help on all modules in the main package
gflags_reporting.cc	helpshort	bool	None	show help on only the main module for this program
gflags_reporting.cc	helpxml	bool	None	produce an xml version of help
gflags_reporting.cc	version	bool	None	show version and build info and exit
GFlagsDeclarations.cpp	ai_enable_evo_next	bool	None	allows to spawn experimental AIControllers
GFlagsDeclarations.cpp	ai_experimental_feature	bool	None	tester/beta-adjustable switch for AI experiments
GFlagsDeclarations.cpp	ai_stay_in_pits	bool	None	Forces all AI cars to stay in the pits
GFlagsDeclarations.cpp	ai_thread_interval_ms	int32	100	interval for AI and rating predictions
GFlagsDeclarations.cpp	ai_version	int32	1	tester/beta-adjustable version for AI code
GFlagsDeclarations.cpp	all_academy_events	bool	None	enable all academy events
GFlagsDeclarations.cpp	audio_stats	bool	None	Enable audio stats
GFlagsDeclarations.cpp	backend	string		insert 'wss://localhost:448/communicationNode/42' for default debugging capabilities
GFlagsDeclarations.cpp	backend_protocol_version	int32	4	v4 = 0.7.0
